approx_gold_evidence_words_retrieved,avg_fraction_of_paper_retrieved,avg_latency_ms,avg_paper_words,avg_retrieved_units,avg_retrieved_words,evidence_coverage_per_1000_words,evidence_coverage_per_unit,evidence_coverage_rate,evidence_hit_per_1000_words,evidence_hit_per_unit,evidence_hit_rate,family_name,first_evidence_rank,gold_evidence_density,harness_name,median_fraction_of_paper_retrieved,median_retrieved_words,non_gold_context_burden,p95_fraction_of_paper_retrieved,p95_latency_ms,p95_retrieved_words,question_count,seed_hit_rate
133.32360236569187,0.7951194999200667,0.2828059701492534,3427.5671641791046,14.871641791044777,2429.321393034826,0.30034220372778975,0.04906168068050846,0.7296277407471438,0.33627309471187,0.054931085240198047,0.8169154228855722,fixed_220_60,2.7823691460055096,0.05667484163860251,simple_hybrid_minimal_adjacency_control,0.777466105656849,2429.0,2295.997790669134,1.1565762004175366,0.533,3327.0,1005,0.7223880597014926
143.71166314502136,0.9860130549710084,0.23681293532338346,3427.5671641791046,18.188059701492538,3068.576119402985,0.2545744210651752,0.04295021029798644,0.7811809890914369,0.27886594946235616,0.04704852563050495,0.8557213930348259,fixed_220_60,4.9220930232558135,0.04911994845298529,sparse_only_baseline,1.015096065873742,3249.0,2924.864456257965,1.2551245663828445,0.428,3975.0,1005,0.8557213930348259
126.24533282943726,0.5777010737307223,0.364209950248756,3427.5671641791046,19.74228855721393,1700.8616915422886,0.41549676137880204,0.035796383096166395,0.7067025243890919,0.48497513113048935,0.04178216823748804,0.8248756218905473,paragraph,4.915560916767189,0.0746708674680942,dense_only_baseline,0.5459286000802246,1665.0,1574.6163587128517,1.0,0.753,2391.0,1005,0.8248756218905473
128.46868860234528,0.580946904060411,0.6827164179104488,3427.5671641791046,19.74228855721393,1711.4268656716417,0.4206759066106598,0.03646770972006598,0.7199560483142577,0.4901208383333798,0.042487777833778544,0.8388059701492537,paragraph,4.7746144721233685,0.07546867793867759,simple_hybrid_baseline,0.543637966500147,1676.0,1582.9581770692969,1.0,1.363,2423.0,1005,0.8388059701492537
115.51575412493321,0.48316058707285403,0.6582477611940316,3427.5671641791046,17.51741293532338,1435.2019900497512,0.45170129019508315,0.0370078956858281,0.6482825905960236,0.5393870400130895,0.04419199091167282,0.7741293532338308,paragraph,2.8463768115942027,0.08209851176866134,simple_hybrid_minimal_adjacency_control,0.4612381483547128,1405.0,1319.686235924818,0.8242389431361287,1.413,2089.0,1005,0.6865671641791045
119.59291146350847,0.5817963362734528,0.5343164179104478,3427.5671641791046,19.74228855721393,1722.8537313432835,0.3853681488064568,0.033629989308886554,0.6639329531120578,0.45741532618564135,0.03991734287586312,0.7880597014925373,paragraph,5.181818181818182,0.06913360322339607,sparse_only_baseline,0.5439330543933054,1681.0,1603.2608198797755,1.0,1.018,2472.0,1005,0.7880597014925373
137.98657476433593,0.9373637506093914,0.214209950248756,3427.5671641791046,19.27363184079602,2833.646766169154,0.2666184572137029,0.039198763124937606,0.7555025290846183,0.29812329803726717,0.04383066597831698,0.844776119402985,paragraph_pair,4.606595995288575,0.05007625931100834,dense_only_baseline,0.9362462214894202,2786.0,2695.660191404819,1.432739059967585,0.414,4143.0,1005,0.844776119402985
140.46258059377456,0.9437881999265332,0.400187064676617,3427.5671641791046,19.27363184079602,2857.776119402985,0.2688051101910119,0.0398567758802658,0.7681848246773618,0.2994361200042478,0.04439855446566856,0.8557213930348259,paragraph_pair,4.416279069767442,0.05058955233305193,simple_hybrid_baseline,0.9385771100309324,2792.0,2717.313538809211,1.4438264738598443,0.778,4172.0,1005,0.8557213930348259
123.43825360444758,0.7479715082152308,0.3638825870646769,3427.5671641791046,15.616915422885572,2265.2039800995026,0.30032943130947565,0.04356221473456264,0.6803074231432444,0.3492156923036375,0.05065307422746097,0.7910447761194029,paragraph_pair,2.6228813559322033,0.05648698159284787,simple_hybrid_minimal_adjacency_control,0.7225,2242.0,2141.7657264950553,1.1743256743256743,0.723,3350.0,1005,0.7044776119402985
132.00679852172388,0.9550008172449721,0.31408557213930294,3427.5671641791046,19.27363184079602,2909.4358208955223,0.247430457677918,0.037350668659393474,0.7198830367487081,0.28317538097861716,0.0427465152297367,0.8238805970149253,paragraph_pair,5.021739130434782,0.046676536169125864,sparse_only_baseline,0.9384084749938408,2858.0,2777.4290223738003,1.437614343212587,0.612,4272.0,1005,0.8238805970149253
